,flops,paras,latency
head_12_480_480,0.1050624,0.000434,0.14845503807067872
middle_12_480_480,0.0359424,0.000145,0.06819839954376221
tail_12_480_480,0.0251136,0.000109,0.07607232093811035
up_12_480_480,0.0663552,0.000288,0.10415871620178223
down_12_480_480,0.1327104,0.002304,0.1074176025390625
skip_12_480_480,0.0,0.0,0.0
mobilenet_3x3_ratio_2_12_480_480,0.196300884,0.000881,0.4210163116455078
mobilenet_3x3_ratio_3_12_480_480,0.293068884,0.001277,0.5624262237548828
mobilenet_3x3_ratio_4_12_480_480,0.389836884,0.001673,0.6928294372558593
mobilenet_3x3_ratio_5_12_480_480,0.486604884,0.002069,0.8381318664550781
mobilenet_3x3_ratio_6_12_480_480,0.583372884,0.002465,0.9604863739013672
mobilenet_5x5_ratio_2_12_480_480,0.284774484,0.001265,0.4897875213623047
mobilenet_5x5_ratio_3_12_480_480,0.425779284,0.001853,0.6355340957641602
mobilenet_5x5_ratio_4_12_480_480,0.566784084,0.002441,0.7974732971191406
mobilenet_5x5_ratio_5_12_480_480,0.707788884,0.003029,0.9728435516357422
mobilenet_5x5_ratio_6_12_480_480,0.848793684,0.003617,1.1491295623779296
mobilenet_7x7_ratio_2_12_480_480,0.417484884,0.001841,0.6247891235351563
mobilenet_7x7_ratio_3_12_480_480,0.624844884,0.002717,0.8651020812988282
mobilenet_7x7_ratio_4_12_480_480,0.832204884,0.003593,1.1166022491455079
mobilenet_7x7_ratio_5_12_480_480,1.039564884,0.004469,1.3645401000976562
mobilenet_7x7_ratio_6_12_480_480,1.246924884,0.005345,1.6244076538085936
cat_12_480_480,0.0663552,0.000288,0.0999078369140625
sum_12_480_480,0.0,0.0,0.06819327831268311
energy_12_480_480,0.1382,0.0,10.625015869140626
mmaf_12_480_480,1.505433774,0.006705,10.2517333984375
skip_dep_12_480_480,0.0,0.0,0.0
skip_rgb_12_480_480,0.0,0.0,0.0
head_12_240_240,0.0262656,0.000434,0.09275263786315918
middle_12_240_240,0.0089856,0.000145,0.038867199420928956
tail_12_240_240,0.0062784,0.000109,0.055450239181518556
up_12_240_240,0.0165888,0.000288,0.04844351768493652
down_12_240_240,0.0331776,0.002304,0.09552895545959472
skip_12_240_240,0.0,0.0,0.0
mobilenet_3x3_ratio_2_12_240_240,0.049075284,0.000881,0.2515443229675293
mobilenet_3x3_ratio_3_12_240_240,0.073267284,0.001277,0.2595123291015625
mobilenet_3x3_ratio_4_12_240_240,0.097459284,0.001673,0.2555955123901367
mobilenet_3x3_ratio_5_12_240_240,0.121651284,0.002069,0.2575660705566406
mobilenet_3x3_ratio_6_12_240_240,0.145843284,0.002465,0.256997127532959
mobilenet_5x5_ratio_2_12_240_240,0.071193684,0.001265,0.25234815597534177
mobilenet_5x5_ratio_3_12_240_240,0.106444884,0.001853,0.25839231491088865
mobilenet_5x5_ratio_4_12_240_240,0.141696084,0.002441,0.2554944038391113
mobilenet_5x5_ratio_5_12_240_240,0.176947284,0.003029,0.26790143966674806
mobilenet_5x5_ratio_6_12_240_240,0.212198484,0.003617,0.3039795112609863
mobilenet_7x7_ratio_2_12_240_240,0.104371284,0.001841,0.25551551818847656
mobilenet_7x7_ratio_3_12_240_240,0.156211284,0.002717,0.257825927734375
mobilenet_7x7_ratio_4_12_240_240,0.208051284,0.003593,0.2979199981689453
mobilenet_7x7_ratio_5_12_240_240,0.259891284,0.004469,0.3655775833129883
mobilenet_7x7_ratio_6_12_240_240,0.311731284,0.005345,0.4199379348754883
cat_12_240_240,0.0165888,0.000288,0.040040321350097656
sum_12_240_240,0.0,0.0,0.017274880409240724
energy_12_240_240,0.03456,0.0,2.6923028564453126
mmaf_12_240_240,0.376358574,0.006705,1.5464889526367187
skip_dep_12_240_240,0.0,0.0,0.0
skip_rgb_12_240_240,0.0,0.0,0.0
head_12_120_120,0.0065664,0.000434,0.0973139190673828
middle_12_120_120,0.0022464,0.000145,0.04178368091583252
tail_12_120_120,0.0015696,0.000109,0.05896512031555176
up_12_120_120,0.0041472,0.000288,0.04999743938446045
down_12_120_120,0.0082944,0.002304,0.10027071952819824
skip_12_120_120,0.0,0.0,0.0
mobilenet_3x3_ratio_2_12_120_120,0.012268884,0.000881,0.2575948715209961
mobilenet_3x3_ratio_3_12_120_120,0.018316884,0.001277,0.2576255989074707
mobilenet_3x3_ratio_4_12_120_120,0.024364884,0.001673,0.2578003120422363
mobilenet_3x3_ratio_5_12_120_120,0.030412884,0.002069,0.255280647277832
mobilenet_3x3_ratio_6_12_120_120,0.036460884,0.002465,0.24816768646240234
mobilenet_5x5_ratio_2_12_120_120,0.017798484,0.001265,0.2577152061462402
mobilenet_5x5_ratio_3_12_120_120,0.026611284,0.001853,0.25932672500610354
mobilenet_5x5_ratio_4_12_120_120,0.035424084,0.002441,0.2552025604248047
mobilenet_5x5_ratio_5_12_120_120,0.044236884,0.003029,0.2552659225463867
mobilenet_5x5_ratio_6_12_120_120,0.053049684,0.003617,0.25054784774780275
mobilenet_7x7_ratio_2_12_120_120,0.026092884,0.001841,0.25925439834594727
mobilenet_7x7_ratio_3_12_120_120,0.039052884,0.002717,0.26203136444091796
mobilenet_7x7_ratio_4_12_120_120,0.052012884,0.003593,0.2564441680908203
mobilenet_7x7_ratio_5_12_120_120,0.064972884,0.004469,0.2567008018493652
mobilenet_7x7_ratio_6_12_120_120,0.077932884,0.005345,0.25148160934448244
cat_12_120_120,0.0041472,0.000288,0.04121151924133301
sum_12_120_120,0.0,0.0,0.017935359477996828
energy_12_120_120,0.00864,0.0,0.6825542449951172
mmaf_12_120_120,0.094089774,0.006705,0.6591001892089844
skip_dep_12_120_120,0.0,0.0,0.0
skip_rgb_12_120_120,0.0,0.0,0.0
head_12_60_60,0.0016416,0.000434,0.08728768348693848
middle_12_60_60,0.0005616,0.000145,0.04406911849975586
tail_12_60_60,0.0003924,0.000109,0.04428544044494629
up_12_60_60,0.0010368,0.000288,0.049884161949157714
down_12_60_60,0.0020736,0.002304,0.08936703681945801
skip_12_60_60,0.0,0.0,0.0
mobilenet_3x3_ratio_2_12_60_60,0.003067284,0.000881,0.2521376037597656
mobilenet_3x3_ratio_3_12_60_60,0.004579284,0.001277,0.25026176452636717
mobilenet_3x3_ratio_4_12_60_60,0.006091284,0.001673,0.2559052848815918
mobilenet_3x3_ratio_5_12_60_60,0.007603284,0.002069,0.25863935470581056
mobilenet_3x3_ratio_6_12_60_60,0.009115284,0.002465,0.2583788871765137
mobilenet_5x5_ratio_2_12_60_60,0.004449684,0.001265,0.2527225685119629
mobilenet_5x5_ratio_3_12_60_60,0.006652884,0.001853,0.24983232498168945
mobilenet_5x5_ratio_4_12_60_60,0.008856084,0.002441,0.2504620742797852
mobilenet_5x5_ratio_5_12_60_60,0.011059284,0.003029,0.26161535263061525
mobilenet_5x5_ratio_6_12_60_60,0.013262484,0.003617,0.2602713584899902
mobilenet_7x7_ratio_2_12_60_60,0.006523284,0.001841,0.24978303909301758
mobilenet_7x7_ratio_3_12_60_60,0.009763284,0.002717,0.2521939277648926
mobilenet_7x7_ratio_4_12_60_60,0.013003284,0.003593,0.2510905647277832
mobilenet_7x7_ratio_5_12_60_60,0.016243284,0.004469,0.2595654487609863
mobilenet_7x7_ratio_6_12_60_60,0.019483284,0.005345,0.26195520401000977
cat_12_60_60,0.0010368,0.000288,0.040458879470825194
sum_12_60_60,0.0,0.0,0.017993600368499757
energy_12_60_60,0.00216,0.0,0.21837312698364258
mmaf_12_60_60,0.023522574,0.006705,0.5644601440429687
skip_dep_12_60_60,0.0,0.0,0.0
skip_rgb_12_60_60,0.0,0.0,0.0
head_24_480_480,0.1050624,0.000434,0.14055935859680177
middle_24_480_480,0.13824,0.000577,0.11265919685363769
tail_24_480_480,0.0499968,0.000217,0.13695936203002929
up_24_480_480,0.2654208,0.001152,0.1913100814819336
down_24_480_480,0.5308416,0.009216,0.2055308723449707
skip_24_480_480,0.0,0.0,0.0
mobilenet_3x3_ratio_2_24_480_480,0.658022712,0.003056,0.763271713256836
mobilenet_3x3_ratio_3_24_480_480,0.984269112,0.004424,1.0465119934082032
mobilenet_3x3_ratio_4_24_480_480,1.310515512,0.005792,1.3051577758789064
mobilenet_3x3_ratio_5_24_480_480,1.636761912,0.00716,1.5534597778320312
mobilenet_3x3_ratio_6_24_480_480,1.963008312,0.008528,1.8757522583007813
mobilenet_5x5_ratio_2_24_480_480,0.834969912,0.003824,0.9041715240478516
mobilenet_5x5_ratio_3_24_480_480,1.249689912,0.005576,1.255741424560547
mobilenet_5x5_ratio_4_24_480_480,1.664409912,0.007328,1.5888876342773437
mobilenet_5x5_ratio_5_24_480_480,2.079129912,0.00908,1.9092185974121094
mobilenet_5x5_ratio_6_24_480_480,2.493849912,0.010832,2.306757049560547
mobilenet_7x7_ratio_2_24_480_480,1.100390712,0.004976,1.2184806060791016
mobilenet_7x7_ratio_3_24_480_480,1.647821112,0.007304,1.735825958251953
mobilenet_7x7_ratio_4_24_480_480,2.195251512,0.009632,2.2252621459960937
mobilenet_7x7_ratio_5_24_480_480,2.742681912,0.01196,2.713916015625
mobilenet_7x7_ratio_6_24_480_480,3.290112312,0.014288,3.2607098388671876
cat_24_480_480,0.2654208,0.001152,0.18879999160766603
sum_24_480_480,0.0,0.0,0.13218496322631837
energy_24_480_480,0.2765,0.0,21.39876953125
mmaf_24_480_480,5.996851836,0.026655,12.517974853515625
skip_dep_24_480_480,0.0,0.0,0.0
skip_rgb_24_480_480,0.0,0.0,0.0
head_24_240_240,0.0262656,0.000434,0.09281920433044434
middle_24_240_240,0.03456,0.000577,0.042363519668579104
tail_24_240_240,0.0124992,0.000217,0.05593535900115967
up_24_240_240,0.0663552,0.001152,0.05521664142608643
down_24_240_240,0.1327104,0.009216,0.09820608139038085
skip_24_240_240,0.0,0.0,0.0
mobilenet_3x3_ratio_2_24_240_240,0.164505912,0.003056,0.25549375534057617
mobilenet_3x3_ratio_3_24_240_240,0.246067512,0.004424,0.29197248458862307
mobilenet_3x3_ratio_4_24_240_240,0.327629112,0.005792,0.35552833557128904
mobilenet_3x3_ratio_5_24_240_240,0.409190712,0.00716,0.41762943267822267
mobilenet_3x3_ratio_6_24_240_240,0.490752312,0.008528,0.49231361389160155
mobilenet_5x5_ratio_2_24_240_240,0.208742712,0.003824,0.2559110450744629
mobilenet_5x5_ratio_3_24_240_240,0.312422712,0.005576,0.34046527862548825
mobilenet_5x5_ratio_4_24_240_240,0.416102712,0.007328,0.4194508743286133
mobilenet_5x5_ratio_5_24_240_240,0.519782712,0.00908,0.4980928039550781
mobilenet_5x5_ratio_6_24_240_240,0.623462712,0.010832,0.5961222457885742
mobilenet_7x7_ratio_2_24_240_240,0.275097912,0.004976,0.33219520568847655
mobilenet_7x7_ratio_3_24_240_240,0.411955512,0.007304,0.4591731262207031
mobilenet_7x7_ratio_4_24_240_240,0.548813112,0.009632,0.5820371246337891
mobilenet_7x7_ratio_5_24_240_240,0.685670712,0.01196,0.7009689331054687
mobilenet_7x7_ratio_6_24_240_240,0.822528312,0.014288,0.8340013122558594
cat_24_240_240,0.0663552,0.001152,0.05266111850738525
sum_24_240_240,0.0,0.0,0.03418943881988525
energy_24_240_240,0.06912,0.0,5.3962335205078125
mmaf_24_240_240,1.499213436,0.026655,1.990643768310547
skip_dep_24_240_240,0.0,0.0,0.0
skip_rgb_24_240_240,0.0,0.0,0.0
head_24_120_120,0.0065664,0.000434,0.09288640022277832
middle_24_120_120,0.00864,0.000577,0.04292160034179687
tail_24_120_120,0.0031248,0.000217,0.05582464218139648
up_24_120_120,0.0165888,0.001152,0.050273280143737796
down_24_120_120,0.0331776,0.009216,0.09845824241638183
skip_24_120_120,0.0,0.0,0.0
mobilenet_3x3_ratio_2_24_120_120,0.041126712,0.003056,0.2550387191772461
mobilenet_3x3_ratio_3_24_120_120,0.061517112,0.004424,0.2533888053894043
mobilenet_3x3_ratio_4_24_120_120,0.081907512,0.005792,0.2554067230224609
mobilenet_3x3_ratio_5_24_120_120,0.102297912,0.00716,0.2588198471069336
mobilenet_3x3_ratio_6_24_120_120,0.122688312,0.008528,0.25796607971191404
mobilenet_5x5_ratio_2_24_120_120,0.052185912,0.003824,0.2532691192626953
mobilenet_5x5_ratio_3_24_120_120,0.078105912,0.005576,0.2529510307312012
mobilenet_5x5_ratio_4_24_120_120,0.104025912,0.007328,0.2555385589599609
mobilenet_5x5_ratio_5_24_120_120,0.129945912,0.00908,0.258209285736084
mobilenet_5x5_ratio_6_24_120_120,0.155865912,0.010832,0.2549273681640625
mobilenet_7x7_ratio_2_24_120_120,0.068774712,0.004976,0.25354560852050784
mobilenet_7x7_ratio_3_24_120_120,0.102989112,0.007304,0.2538534355163574
mobilenet_7x7_ratio_4_24_120_120,0.137203512,0.009632,0.2555635261535645
mobilenet_7x7_ratio_5_24_120_120,0.171417912,0.01196,0.258787841796875
mobilenet_7x7_ratio_6_24_120_120,0.205632312,0.014288,0.26789375305175783
cat_24_120_120,0.0165888,0.001152,0.04071807861328125
sum_24_120_120,0.0,0.0,0.01808192014694214
energy_24_120_120,0.01728,0.0,1.34974853515625
mmaf_24_120_120,0.374803836,0.026655,0.5646489715576172
skip_dep_24_120_120,0.0,0.0,0.0
skip_rgb_24_120_120,0.0,0.0,0.0
head_24_60_60,0.0016416,0.000434,0.08531519889831543
middle_24_60_60,0.00216,0.000577,0.04364992141723633
tail_24_60_60,0.0007812,0.000217,0.043830399513244626
up_24_60_60,0.0041472,0.001152,0.051397118568420413
down_24_60_60,0.0082944,0.009216,0.09953344345092774
skip_24_60_60,0.0,0.0,0.0
mobilenet_3x3_ratio_2_24_60_60,0.010281912,0.003056,0.2553849601745605
mobilenet_3x3_ratio_3_24_60_60,0.015379512,0.004424,0.25577215194702146
mobilenet_3x3_ratio_4_24_60_60,0.020477112,0.005792,0.25654016494750975
mobilenet_3x3_ratio_5_24_60_60,0.025574712,0.00716,0.255599365234375
mobilenet_3x3_ratio_6_24_60_60,0.030672312,0.008528,0.25594303131103513
mobilenet_5x5_ratio_2_24_60_60,0.013046712,0.003824,0.25949888229370116
mobilenet_5x5_ratio_3_24_60_60,0.019526712,0.005576,0.2561574363708496
mobilenet_5x5_ratio_4_24_60_60,0.026006712,0.007328,0.2564236831665039
mobilenet_5x5_ratio_5_24_60_60,0.032486712,0.00908,0.25609216690063474
mobilenet_5x5_ratio_6_24_60_60,0.038966712,0.010832,0.256296329498291
mobilenet_7x7_ratio_2_24_60_60,0.017193912,0.004976,0.2585523223876953
mobilenet_7x7_ratio_3_24_60_60,0.025747512,0.007304,0.25636735916137693
mobilenet_7x7_ratio_4_24_60_60,0.034301112,0.009632,0.25726272583007814
mobilenet_7x7_ratio_5_24_60_60,0.042854712,0.01196,0.26089216232299806
mobilenet_7x7_ratio_6_24_60_60,0.051408312,0.014288,0.25732927322387694
cat_24_60_60,0.0041472,0.001152,0.04110720157623291
sum_24_60_60,0.0,0.0,0.01786303997039795
energy_24_60_60,0.00432,0.0,0.36129470825195314
mmaf_24_60_60,0.093701436,0.026655,0.5469715118408203
skip_dep_24_60_60,0.0,0.0,0.0
skip_rgb_24_60_60,0.0,0.0,0.0
head_48_480_480,0.1050624,0.000434,0.14134464263916016
middle_48_480_480,0.5419008,0.002305,0.2196665573120117
tail_48_480_480,0.0997632,0.000433,0.2437843132019043
up_48_480_480,1.0616832,0.004608,0.3787321472167969
down_48_480_480,2.1233664,0.036864,0.4238924789428711
skip_48_480_480,0.0,0.0,0.0
mobilenet_3x3_ratio_2_48_480_480,2.3777292,0.011294,1.5012307739257813
mobilenet_3x3_ratio_3_48_480_480,3.5610636,0.016334,2.0412748718261717
mobilenet_3x3_ratio_4_48_480_480,4.744398,0.021374,2.548384704589844
mobilenet_3x3_ratio_5_48_480_480,5.9277324,0.026414,3.077676086425781
mobilenet_3x3_ratio_6_48_480_480,7.1110668,0.031454,3.612177429199219
mobilenet_5x5_ratio_2_48_480_480,2.7316236,0.01283,1.7766265869140625
mobilenet_5x5_ratio_3_48_480_480,4.0919052,0.018638,2.4819929504394533
mobilenet_5x5_ratio_4_48_480_480,5.4521868,0.024446,3.11804931640625
mobilenet_5x5_ratio_5_48_480_480,6.8124684,0.030254,3.794403076171875
mobilenet_5x5_ratio_6_48_480_480,8.17275,0.036062,4.504117736816406
mobilenet_7x7_ratio_2_48_480_480,3.2624652,0.015134,2.41961669921875
mobilenet_7x7_ratio_3_48_480_480,4.8881676,0.022094,3.43369140625
mobilenet_7x7_ratio_4_48_480_480,6.51387,0.029054,4.41323974609375
mobilenet_7x7_ratio_5_48_480_480,8.1395724,0.036014,5.427073974609375
mobilenet_7x7_ratio_6_48_480_480,9.7652748,0.042974,6.468145751953125
cat_48_480_480,1.0616832,0.004608,0.37271167755126955
sum_48_480_480,0.0,0.0,0.25950592041015624
energy_48_480_480,0.553,0.0,43.0856884765625
mmaf_48_480_480,23.937640824,0.106299,17.400009765625
skip_dep_48_480_480,0.0,0.0,0.0
skip_rgb_48_480_480,0.0,0.0,0.0
head_48_240_240,0.0262656,0.000434,0.09218303680419922
middle_48_240_240,0.1354752,0.002305,0.06147264003753662
tail_48_240_240,0.0249408,0.000433,0.07116288185119629
up_48_240_240,0.2654208,0.004608,0.10745408058166504
down_48_240_240,0.5308416,0.036864,0.12673919677734374
skip_48_240_240,0.0,0.0,0.0
mobilenet_3x3_ratio_2_48_240_240,0.5944332,0.011294,0.4100505447387695
mobilenet_3x3_ratio_3_48_240_240,0.8902668,0.016334,0.5446323013305664
mobilenet_3x3_ratio_4_48_240_240,1.1861004,0.021374,0.6672525024414062
mobilenet_3x3_ratio_5_48_240_240,1.481934,0.026414,0.7974073791503906
mobilenet_3x3_ratio_6_48_240_240,1.7777676,0.031454,0.9288960266113281
mobilenet_5x5_ratio_2_48_240_240,0.6829068,0.01283,0.4791302490234375
mobilenet_5x5_ratio_3_48_240_240,1.0229772,0.018638,0.6412620544433594
mobilenet_5x5_ratio_4_48_240_240,1.3630476,0.024446,0.8072006225585937
mobilenet_5x5_ratio_5_48_240_240,1.703118,0.030254,0.9687385559082031
mobilenet_5x5_ratio_6_48_240_240,2.0431884,0.036062,1.1336224365234375
mobilenet_7x7_ratio_2_48_240_240,0.8156172,0.015134,0.6419833374023437
mobilenet_7x7_ratio_3_48_240_240,1.2220428,0.022094,0.8881260681152344
mobilenet_7x7_ratio_4_48_240_240,1.6284684,0.029054,1.1318489837646484
mobilenet_7x7_ratio_5_48_240_240,2.034894,0.036014,1.382006378173828
mobilenet_7x7_ratio_6_48_240_240,2.4413196,0.042974,1.6355673217773437
cat_48_240_240,0.2654208,0.004608,0.10271743774414062
sum_48_240_240,0.0,0.0,0.06814208030700683
energy_48_240_240,0.1382,0.0,10.750140380859374
mmaf_48_240_240,5.984412024,0.106299,4.41263427734375
skip_dep_48_240_240,0.0,0.0,0.0
skip_rgb_48_240_240,0.0,0.0,0.0
head_48_120_120,0.0065664,0.000434,0.09218688011169433
middle_48_120_120,0.0338688,0.002305,0.043683838844299314
tail_48_120_120,0.0062352,0.000433,0.047448959350585934
up_48_120_120,0.0663552,0.004608,0.050322561264038085
down_48_120_120,0.1327104,0.036864,0.09744768142700196
skip_48_120_120,0.0,0.0,0.0
mobilenet_3x3_ratio_2_48_120_120,0.1486092,0.011294,0.2572934341430664
mobilenet_3x3_ratio_3_48_120_120,0.2225676,0.016334,0.25787839889526365
mobilenet_3x3_ratio_4_48_120_120,0.296526,0.021374,0.2576851272583008
mobilenet_3x3_ratio_5_48_120_120,0.3704844,0.026414,0.2570956802368164
mobilenet_3x3_ratio_6_48_120_120,0.4444428,0.031454,0.2571443176269531
mobilenet_5x5_ratio_2_48_120_120,0.1707276,0.01283,0.2565555191040039
mobilenet_5x5_ratio_3_48_120_120,0.2557452,0.018638,0.2603731155395508
mobilenet_5x5_ratio_4_48_120_120,0.3407628,0.024446,0.2588025665283203
mobilenet_5x5_ratio_5_48_120_120,0.4257804,0.030254,0.2626822471618652
mobilenet_5x5_ratio_6_48_120_120,0.510798,0.036062,0.3031436729431152
mobilenet_7x7_ratio_2_48_120_120,0.2039052,0.015134,0.2567347145080566
mobilenet_7x7_ratio_3_48_120_120,0.3055116,0.022094,0.26086208343505857
mobilenet_7x7_ratio_4_48_120_120,0.407118,0.029054,0.3024524879455566
mobilenet_7x7_ratio_5_48_120_120,0.5087244,0.036014,0.3603968048095703
mobilenet_7x7_ratio_6_48_120_120,0.6103308,0.042974,0.4275193786621094
cat_48_120_120,0.0663552,0.004608,0.042467198371887206
sum_48_120_120,0.0,0.0,0.018002560138702394
energy_48_120_120,0.03456,0.0,2.6680743408203127
mmaf_48_120_120,1.496104824,0.106299,0.7958067321777343
skip_dep_48_120_120,0.0,0.0,0.0
skip_rgb_48_120_120,0.0,0.0,0.0
head_48_60_60,0.0016416,0.000434,0.08634367942810059
middle_48_60_60,0.0084672,0.002305,0.04481855869293213
tail_48_60_60,0.0015588,0.000433,0.04824575901031494
up_48_60_60,0.0165888,0.004608,0.051638398170471195
down_48_60_60,0.0331776,0.036864,0.09999679565429688
skip_48_60_60,0.0,0.0,0.0
mobilenet_3x3_ratio_2_48_60_60,0.0371532,0.011294,0.25759679794311524
mobilenet_3x3_ratio_3_48_60_60,0.0556428,0.016334,0.25614400863647463
mobilenet_3x3_ratio_4_48_60_60,0.0741324,0.021374,0.2578988838195801
mobilenet_3x3_ratio_5_48_60_60,0.092622,0.026414,0.25973312377929686
mobilenet_3x3_ratio_6_48_60_60,0.1111116,0.031454,0.25568447113037107
mobilenet_5x5_ratio_2_48_60_60,0.0426828,0.01283,0.2571878433227539
mobilenet_5x5_ratio_3_48_60_60,0.0639372,0.018638,0.25643072128295896
mobilenet_5x5_ratio_4_48_60_60,0.0851916,0.024446,0.257708797454834
