,Latency,FLOPs,Paras
0,17.743980836868282,9.751831280000001,0.8178790000000001
1,20.074035043716428,10.019198912,0.57509
2,17.431241307258603,10.203979784,0.5347689999999999
3,23.076293039321897,10.256745868,0.6885490000000001
4,20.600304841995236,12.709479152000004,0.9432139999999998
5,16.472621202468872,9.960908832,0.6612039999999999
6,26.01093523979187,10.838039564,0.596117
7,22.646488242149353,9.765537292000001,0.639601
8,17.1092111825943,10.223564288,0.583506
9,19.763096303939818,10.391073960000002,0.6810720000000001
10,17.990554280281064,10.450747392000002,0.803888
11,21.514773244857786,11.198744448,0.969416
12,30.766420145034793,10.675385528000001,0.7797900000000001
13,17.77693330287933,10.236929135999997,0.6132230000000002
14,22.205770134925842,10.146157548,0.7332070000000002
15,22.811229391098024,12.732398735999999,0.8480380000000001
16,19.605233449935906,11.665185536,0.764954
17,17.685595006942748,9.986028223999998,0.6288
18,19.96564873695373,12.156285575999998,0.9860860000000001
19,18.990032567977902,10.128187639999998,0.7696880000000001
20,26.669967508316034,11.825766772000001,0.6049300000000001
21,11.471181783676148,6.253538831999999,0.49303499999999995
22,17.587089323997496,10.349025136000002,0.8645269999999999
23,17.70163315296173,10.519399919999998,0.568836
24,18.191656494140624,11.054624927999996,0.7907030000000002
25,19.249609179496765,10.162736936,0.482976
26,18.515806875228883,11.254613279999997,0.805172
27,21.89045065879822,10.955088512000001,0.62011
28,22.265238256454463,9.088614208,0.652446
29,23.20726227045059,11.447914112,0.6930540000000001
30,24.193274366855615,10.146505999999999,0.918579
31,24.12101304769516,11.28445434,0.9218860000000001
32,16.281997117996216,9.14413628,0.503609
33,25.780357923507694,12.773299096,0.927859
34,24.463365635871885,11.712076236,0.9273360000000002
35,19.02040080070495,10.847726856000001,0.7159509999999999
36,22.26203413248062,10.45718822,0.5475190000000001
37,17.958513259887695,10.565482112,0.6971499999999999
38,22.179479684829708,11.379840048,0.8283600000000002
39,20.302577326297758,13.022131136000002,1.0142470000000001
40,16.86045178890228,9.4100184,0.43650500000000003
41,23.72929211616516,11.526371764,0.8947139999999998
42,20.51599986553192,8.779652451999999,0.680719
43,19.698785376548766,11.017761104,0.6969849999999999
