,flops,paras,latency
head_32_480_480,0.2801664,0.001154,0.2618758392333984
middle_32_480_480,0.2433024,0.001025,0.14761152267456054
tail_32_480_480,0.0665856,0.000289,0.2059596824645996
up_32_480_480,0.4718592,0.002048,0.25485504150390625
down_32_480_480,0.9437184,0.016384,0.27098560333251953
skip_32_480_480,0.0,0.0,0.0
mobilenet_3x3_ratio_2_32_480_480,1.113293344,0.005226,1.0444070434570312
mobilenet_3x3_ratio_3_32_480_480,1.666253344,0.007562,1.4132063293457031
mobilenet_3x3_ratio_4_32_480_480,2.219213344,0.009898,1.7091148376464844
mobilenet_3x3_ratio_5_32_480_480,2.772173344,0.012234,2.0622988891601564
mobilenet_3x3_ratio_6_32_480_480,3.325133344,0.01457,2.4162278747558594
mobilenet_5x5_ratio_2_32_480_480,1.349222944,0.00625,1.1952601623535157
mobilenet_5x5_ratio_3_32_480_480,2.020147744,0.009098,1.6501548767089844
mobilenet_5x5_ratio_4_32_480_480,2.691072544,0.011946,2.098147125244141
mobilenet_5x5_ratio_5_32_480_480,3.361997344,0.014794,2.5573638916015624
mobilenet_5x5_ratio_6_32_480_480,4.032922144,0.017642,3.0096670532226564
mobilenet_7x7_ratio_2_32_480_480,1.703117344,0.007786,1.622265625
mobilenet_7x7_ratio_3_32_480_480,2.550989344,0.011402,2.29382080078125
mobilenet_7x7_ratio_4_32_480_480,3.398861344,0.015018,2.9573516845703125
mobilenet_7x7_ratio_5_32_480_480,4.246733344,0.018634,3.6203582763671873
mobilenet_7x7_ratio_6_32_480_480,5.094605344,0.02225,4.3180844116210935
cat_32_480_480,0.4718592,0.002048,0.24881088256835937
sum_32_480_480,0.0,0.0,0.1745267105102539
energy_32_480_480,0.3686,0.0,28.6510986328125
mmaf_32_480_480,10.650010704,0.047315,14.121168212890625
skip_dep_32_480_480,0.0,0.0,0.0
skip_rgb_32_480_480,0.0,0.0,0.0
head_32_240_240,0.0700416,0.001154,0.09610624313354492
middle_32_240_240,0.0608256,0.001025,0.0426694393157959
tail_32_240_240,0.0166464,0.000289,0.05627391815185547
up_32_240_240,0.1179648,0.002048,0.06960447788238526
down_32_240_240,0.2359296,0.016384,0.10193856239318848
skip_32_240_240,0.0,0.0,0.0
mobilenet_3x3_ratio_2_32_240_240,0.278323744,0.005226,0.27871551513671877
mobilenet_3x3_ratio_3_32_240_240,0.416563744,0.007562,0.3785830307006836
mobilenet_3x3_ratio_4_32_240_240,0.554803744,0.009898,0.4625555038452148
mobilenet_3x3_ratio_5_32_240_240,0.693043744,0.012234,0.5579116821289063
mobilenet_3x3_ratio_6_32_240_240,0.831283744,0.01457,0.6414899444580078
mobilenet_5x5_ratio_2_32_240_240,0.337306144,0.00625,0.32570560455322267
mobilenet_5x5_ratio_3_32_240_240,0.505037344,0.009098,0.44409278869628904
mobilenet_5x5_ratio_4_32_240_240,0.672768544,0.011946,0.5572345733642579
mobilenet_5x5_ratio_5_32_240_240,0.840499744,0.014794,0.6692473602294922
mobilenet_5x5_ratio_6_32_240_240,1.008230944,0.017642,0.778872299194336
mobilenet_7x7_ratio_2_32_240_240,0.425779744,0.007786,0.43404670715332033
mobilenet_7x7_ratio_3_32_240_240,0.637747744,0.011402,0.6092115020751954
mobilenet_7x7_ratio_4_32_240_240,0.849715744,0.015018,0.7697427368164063
mobilenet_7x7_ratio_5_32_240_240,1.061683744,0.018634,0.9515213012695313
mobilenet_7x7_ratio_6_32_240_240,1.273651744,0.02225,1.114508819580078
cat_32_240_240,0.1179648,0.002048,0.06769152164459229
sum_32_240_240,0.0,0.0,0.046648321151733396
energy_32_240_240,0.09216,0.0,7.1972216796875
mmaf_32_240_240,2.662503504,0.047315,2.586423034667969
skip_dep_32_240_240,0.0,0.0,0.0
skip_rgb_32_240_240,0.0,0.0,0.0
head_32_120_120,0.0175104,0.001154,0.09073087692260742
middle_32_120_120,0.0152064,0.001025,0.04737152099609375
tail_32_120_120,0.0041616,0.000289,0.05063680171966553
up_32_120_120,0.0294912,0.002048,0.051385598182678224
down_32_120_120,0.0589824,0.016384,0.10339967727661133
skip_32_120_120,0.0,0.0,0.0
mobilenet_3x3_ratio_2_32_120_120,0.069581344,0.005226,0.2606515121459961
mobilenet_3x3_ratio_3_32_120_120,0.104141344,0.007562,0.25971456527709963
mobilenet_3x3_ratio_4_32_120_120,0.138701344,0.009898,0.2597920036315918
mobilenet_3x3_ratio_5_32_120_120,0.173261344,0.012234,0.25834943771362306
mobilenet_3x3_ratio_6_32_120_120,0.207821344,0.01457,0.26280704498291013
mobilenet_5x5_ratio_2_32_120_120,0.084326944,0.00625,0.2585702323913574
mobilenet_5x5_ratio_3_32_120_120,0.126259744,0.009098,0.25936767578125
mobilenet_5x5_ratio_4_32_120_120,0.168192544,0.011946,0.2601535987854004
mobilenet_5x5_ratio_5_32_120_120,0.210125344,0.014794,0.2585465621948242
mobilenet_5x5_ratio_6_32_120_120,0.252058144,0.017642,0.26036672592163085
mobilenet_7x7_ratio_2_32_120_120,0.106445344,0.007786,0.259879035949707
mobilenet_7x7_ratio_3_32_120_120,0.159437344,0.011402,0.26161983489990237
mobilenet_7x7_ratio_4_32_120_120,0.212429344,0.015018,0.25944704055786133
mobilenet_7x7_ratio_5_32_120_120,0.265421344,0.018634,0.25556095123291017
mobilenet_7x7_ratio_6_32_120_120,0.318413344,0.02225,0.29417856216430666
cat_32_120_120,0.0294912,0.002048,0.040656638145446775
sum_32_120_120,0.0,0.0,0.017594239711761474
energy_32_120_120,0.02304,0.0,1.7885125732421876
mmaf_32_120_120,0.665626704,0.047315,0.6587814331054688
skip_dep_32_120_120,0.0,0.0,0.0
skip_rgb_32_120_120,0.0,0.0,0.0
head_32_60_60,0.0043776,0.001154,0.08574336051940917
middle_32_60_60,0.0038016,0.001025,0.04523071765899658
tail_32_60_60,0.0010404,0.000289,0.04914815902709961
up_32_60_60,0.0073728,0.002048,0.05223423957824707
down_32_60_60,0.0147456,0.016384,0.10306879997253418
skip_32_60_60,0.0,0.0,0.0
mobilenet_3x3_ratio_2_32_60_60,0.017395744,0.005226,0.260765438079834
mobilenet_3x3_ratio_3_32_60_60,0.026035744,0.007562,0.2627961540222168
mobilenet_3x3_ratio_4_32_60_60,0.034675744,0.009898,0.2615200042724609
mobilenet_3x3_ratio_5_32_60_60,0.043315744,0.012234,0.25782400131225586
mobilenet_3x3_ratio_6_32_60_60,0.051955744,0.01457,0.2589536094665527
mobilenet_5x5_ratio_2_32_60_60,0.021082144,0.00625,0.2580204772949219
mobilenet_5x5_ratio_3_32_60_60,0.031565344,0.009098,0.263756160736084
mobilenet_5x5_ratio_4_32_60_60,0.042048544,0.011946,0.25936704635620117
mobilenet_5x5_ratio_5_32_60_60,0.052531744,0.014794,0.256746883392334
mobilenet_5x5_ratio_6_32_60_60,0.063014944,0.017642,0.2595315170288086
mobilenet_7x7_ratio_2_32_60_60,0.026611744,0.007786,0.2589356803894043
mobilenet_7x7_ratio_3_32_60_60,0.039859744,0.011402,0.2591276741027832
mobilenet_7x7_ratio_4_32_60_60,0.053107744,0.015018,0.2711359977722168
mobilenet_7x7_ratio_5_32_60_60,0.066355744,0.018634,0.2631852722167969
mobilenet_7x7_ratio_6_32_60_60,0.079603744,0.02225,0.26880128860473634
cat_32_60_60,0.0073728,0.002048,0.044188160896301266
sum_32_60_60,0.0,0.0,0.01869312047958374
energy_32_60_60,0.00576,0.0,0.4672742462158203
mmaf_32_60_60,0.166407504,0.047315,0.582561912536621
skip_dep_32_60_60,0.0,0.0,0.0
skip_rgb_32_60_60,0.0,0.0,0.0
head_64_480_480,0.2801664,0.001154,0.2527897644042969
middle_64_480_480,0.958464,0.004097,0.28713279724121094
tail_64_480_480,0.1329408,0.000577,0.315545597076416
up_64_480_480,1.8874368,0.008192,0.5059558486938477
down_64_480_480,3.7748736,0.065536,0.5594559860229492
skip_64_480_480,0.0,0.0,0.0
mobilenet_3x3_ratio_2_64_480_480,4.114024512,0.019666,2.0710009765625
mobilenet_3x3_ratio_3_64_480_480,6.163662912,0.028434,2.720460205078125
mobilenet_3x3_ratio_4_64_480_480,8.213301312,0.037202,3.4281735229492187
mobilenet_3x3_ratio_5_64_480_480,10.262939712,0.04597,4.1603271484375
mobilenet_3x3_ratio_6_64_480_480,12.312578112,0.054738,4.864507446289062
mobilenet_5x5_ratio_2_64_480_480,4.585883712,0.021714,2.3981619262695313
mobilenet_5x5_ratio_3_64_480_480,6.871451712,0.031506,3.2956582641601564
mobilenet_5x5_ratio_4_64_480_480,9.157019712,0.041298,4.186707763671875
mobilenet_5x5_ratio_5_64_480_480,11.442587712,0.05109,5.126680297851562
mobilenet_5x5_ratio_6_64_480_480,13.728155712,0.060882,5.995885620117187
mobilenet_7x7_ratio_2_64_480_480,5.293672512,0.024786,3.251002197265625
mobilenet_7x7_ratio_3_64_480_480,7.933134912,0.036114,4.577034912109375
mobilenet_7x7_ratio_4_64_480_480,10.572597312,0.047442,5.9133062744140625
mobilenet_7x7_ratio_5_64_480_480,13.212059712,0.05877,7.260817260742187
mobilenet_7x7_ratio_6_64_480_480,15.851522112,0.070098,8.596647338867188
cat_64_480_480,1.8874368,0.008192,0.4928972625732422
sum_64_480_480,0.0,0.0,0.3437830352783203
energy_64_480_480,0.7373,0.0,57.3510546875
mmaf_64_480_480,42.533687456,0.188835,19.79686767578125
skip_dep_64_480_480,0.0,0.0,0.0
skip_rgb_64_480_480,0.0,0.0,0.0
head_64_240_240,0.0700416,0.001154,0.097774076461792
middle_64_240_240,0.239616,0.004097,0.0809830379486084
tail_64_240_240,0.0332352,0.000577,0.08707584381103516
up_64_240_240,0.4718592,0.008192,0.14110015869140624
down_64_240_240,0.9437184,0.065536,0.16495616912841796
skip_64_240_240,0.0,0.0,0.0
mobilenet_3x3_ratio_2_64_240_240,1.028507712,0.019666,0.5344185638427734
mobilenet_3x3_ratio_3_64_240_240,1.540917312,0.028434,0.7062886047363282
mobilenet_3x3_ratio_4_64_240_240,2.053326912,0.037202,0.8822803497314453
mobilenet_3x3_ratio_5_64_240_240,2.565736512,0.04597,1.056755828857422
mobilenet_3x3_ratio_6_64_240_240,3.078146112,0.054738,1.2458483123779296
mobilenet_5x5_ratio_2_64_240_240,1.146472512,0.021714,0.6268697738647461
mobilenet_5x5_ratio_3_64_240_240,1.717864512,0.031506,0.8473388671875
mobilenet_5x5_ratio_4_64_240_240,2.289256512,0.041298,1.0649696350097657
mobilenet_5x5_ratio_5_64_240_240,2.860648512,0.05109,1.2946981811523437
mobilenet_5x5_ratio_6_64_240_240,3.432040512,0.060882,1.5308140563964843
mobilenet_7x7_ratio_2_64_240_240,1.323419712,0.024786,0.8459903717041015
mobilenet_7x7_ratio_3_64_240_240,1.983285312,0.036114,1.1716070556640625
mobilenet_7x7_ratio_4_64_240_240,2.643150912,0.047442,1.5129446411132812
mobilenet_7x7_ratio_5_64_240_240,3.303016512,0.05877,1.8448403930664063
mobilenet_7x7_ratio_6_64_240_240,3.962882112,0.070098,2.2008160400390624
cat_64_240_240,0.4718592,0.008192,0.13208255767822266
sum_64_240_240,0.0,0.0,0.08950400352478027
energy_64_240_240,0.1843,0.0,14.393927001953125
mmaf_64_240_240,10.633425056,0.188835,4.905360717773437
skip_dep_64_240_240,0.0,0.0,0.0
skip_rgb_64_240_240,0.0,0.0,0.0
head_64_120_120,0.0175104,0.001154,0.08504384040832519
middle_64_120_120,0.059904,0.004097,0.04421311855316162
tail_64_120_120,0.0083088,0.000577,0.0471398401260376
up_64_120_120,0.1179648,0.008192,0.05100287914276123
down_64_120_120,0.2359296,0.065536,0.10064576148986816
skip_64_120_120,0.0,0.0,0.0
mobilenet_3x3_ratio_2_64_120_120,0.257128512,0.019666,0.260578556060791
mobilenet_3x3_ratio_3_64_120_120,0.385230912,0.028434,0.25906431198120117
mobilenet_3x3_ratio_4_64_120_120,0.513333312,0.037202,0.2574220848083496
mobilenet_3x3_ratio_5_64_120_120,0.641435712,0.04597,0.290581111907959
mobilenet_3x3_ratio_6_64_120_120,0.769538112,0.054738,0.33260929107666015
mobilenet_5x5_ratio_2_64_120_120,0.286619712,0.021714,0.26292415618896486
mobilenet_5x5_ratio_3_64_120_120,0.429467712,0.031506,0.25733184814453125
mobilenet_5x5_ratio_4_64_120_120,0.572315712,0.041298,0.2852115249633789
mobilenet_5x5_ratio_5_64_120_120,0.715163712,0.05109,0.34302143096923826
mobilenet_5x5_ratio_6_64_120_120,0.858011712,0.060882,0.4011974334716797
mobilenet_7x7_ratio_2_64_120_120,0.330856512,0.024786,0.26099327087402346
mobilenet_7x7_ratio_3_64_120_120,0.495822912,0.036114,0.3150009536743164
mobilenet_7x7_ratio_4_64_120_120,0.660789312,0.047442,0.5379417419433594
mobilenet_7x7_ratio_5_64_120_120,0.825755712,0.05877,0.4769081497192383
mobilenet_7x7_ratio_6_64_120_120,0.990722112,0.070098,0.5624832153320313
cat_64_120_120,0.1179648,0.008192,0.043434882164001466
sum_64_120_120,0.0,0.0,0.02147455930709839
energy_64_120_120,0.04608,0.0,3.5541958618164062
mmaf_64_120_120,2.658359456,0.188835,0.9413638305664063
skip_dep_64_120_120,0.0,0.0,0.0
skip_rgb_64_120_120,0.0,0.0,0.0
head_64_60_60,0.0043776,0.001154,0.08511360168457031
middle_64_60_60,0.014976,0.004097,0.048266239166259765
tail_64_60_60,0.0020772,0.000577,0.04802815914154053
up_64_60_60,0.0294912,0.008192,0.05160831928253174
down_64_60_60,0.0589824,0.065536,0.10115776062011719
skip_64_60_60,0.0,0.0,0.0
mobilenet_3x3_ratio_2_64_60_60,0.064283712,0.019666,0.262227840423584
mobilenet_3x3_ratio_3_64_60_60,0.096309312,0.028434,0.2616499137878418
mobilenet_3x3_ratio_4_64_60_60,0.128334912,0.037202,0.26264640808105466
mobilenet_3x3_ratio_5_64_60_60,0.160360512,0.04597,0.26279808044433595
mobilenet_3x3_ratio_6_64_60_60,0.192386112,0.054738,0.2668095970153809
mobilenet_5x5_ratio_2_64_60_60,0.071656512,0.021714,0.26268735885620115
mobilenet_5x5_ratio_3_64_60_60,0.107368512,0.031506,0.261844482421875
mobilenet_5x5_ratio_4_64_60_60,0.143080512,0.041298,0.2609619140625
mobilenet_5x5_ratio_5_64_60_60,0.178792512,0.05109,0.26200191497802733
mobilenet_5x5_ratio_6_64_60_60,0.214504512,0.060882,0.2613216018676758
mobilenet_7x7_ratio_2_64_60_60,0.082715712,0.024786,0.26273664474487307
mobilenet_7x7_ratio_3_64_60_60,0.123957312,0.036114,0.2634988784790039
mobilenet_7x7_ratio_4_64_60_60,0.165198912,0.047442,0.2636524772644043
mobilenet_7x7_ratio_5_64_60_60,0.206440512,0.05877,0.2617695999145508
mobilenet_7x7_ratio_6_64_60_60,0.247682112,0.070098,0.2617913627624512
cat_64_60_60,0.0294912,0.008192,0.042049918174743656
sum_64_60_60,0.0,0.0,0.017777279615402222
energy_64_60_60,0.01152,0.0,0.8968531036376953
mmaf_64_60_60,0.664593056,0.188835,0.581072006225586
skip_dep_64_60_60,0.0,0.0,0.0
skip_rgb_64_60_60,0.0,0.0,0.0
head_128_480_480,0.2801664,0.001154,0.2518252754211426
middle_128_480_480,3.8043648,0.016385,0.5749158477783203
tail_128_480_480,0.2656512,0.001153,0.5597094345092773
up_128_480_480,7.5497472,0.032768,1.0965471649169922
down_128_480_480,15.0994944,0.262144,1.599603271484375
skip_128_480_480,0.0,0.0,0.0
mobilenet_3x3_ratio_2_128_480_480,15.77780032,0.076194,4.273591613769531
mobilenet_3x3_ratio_3_128_480_480,23.65195072,0.110114,5.758908081054687
mobilenet_3x3_ratio_4_128_480_480,31.52610112,0.144034,7.345634765625
mobilenet_3x3_ratio_5_128_480_480,39.40025152,0.177954,8.977047729492188
mobilenet_3x3_ratio_6_128_480_480,47.27440192,0.211874,10.56498046875
mobilenet_5x5_ratio_2_128_480_480,16.72151872,0.08029,4.9579315185546875
mobilenet_5x5_ratio_3_128_480_480,25.06752832,0.116258,6.9439764404296875
mobilenet_5x5_ratio_4_128_480_480,33.41353792,0.152226,8.938423461914063
mobilenet_5x5_ratio_5_128_480_480,41.75954752,0.188194,10.932008056640624
mobilenet_5x5_ratio_6_128_480_480,50.10555712,0.224162,12.92684814453125
mobilenet_7x7_ratio_2_128_480_480,18.13709632,0.086434,6.675366821289063
mobilenet_7x7_ratio_3_128_480_480,27.19089472,0.125474,9.544561767578125
mobilenet_7x7_ratio_4_128_480_480,36.24469312,0.164514,12.3496923828125
mobilenet_7x7_ratio_5_128_480_480,45.29849152,0.203554,15.21184326171875
mobilenet_7x7_ratio_6_128_480_480,54.35228992,0.242594,18.079876708984376
cat_128_480_480,7.5497472,0.032768,1.0509254455566406
sum_128_480_480,0.0,0.0,0.6823238372802735
energy_128_480_480,1.475,0.0,117.269912109375
mmaf_128_480_480,170.002039104,0.754499,32.50728515625
skip_dep_128_480_480,0.0,0.0,0.0
skip_rgb_128_480_480,0.0,0.0,0.0
head_128_240_240,0.0700416,0.001154,0.07822912216186523
middle_128_240_240,0.9510912,0.016385,0.16168960571289062
tail_128_240_240,0.0664128,0.001153,0.14742783546447755
