,flops,paras,latency
head_8_480_480,0.0700416,0.00029,0.12943424224853517
middle_8_480_480,0.0165888,6.5e-05,0.053714561462402347
tail_8_480_480,0.0168192,7.3e-05,0.6443494415283203
up_8_480_480,0.0294912,0.000128,0.07112256050109864
down_8_480_480,0.0589824,0.001024,0.09679679870605469
skip_8_480_480,0.0,0.0,0.0
mobilenet_3x3_ratio_2_8_480_480,0.10137604,0.000444,0.3017286491394043
mobilenet_3x3_ratio_3_8_480_480,0.15114244,0.000644,0.3854528045654297
mobilenet_3x3_ratio_4_8_480_480,0.20090884,0.000844,0.4746790313720703
mobilenet_3x3_ratio_5_8_480_480,0.25067524,0.001044,0.5655193710327149
mobilenet_3x3_ratio_6_8_480_480,0.30044164,0.001244,0.6555615997314453
mobilenet_5x5_ratio_2_8_480_480,0.16035844,0.0007,0.3453523254394531
mobilenet_5x5_ratio_3_8_480_480,0.23961604,0.001028,0.4360038375854492
mobilenet_5x5_ratio_4_8_480_480,0.31887364,0.001356,0.5393280029296875
mobilenet_5x5_ratio_5_8_480_480,0.39813124,0.001684,0.6548492431640625
mobilenet_5x5_ratio_6_8_480_480,0.47738884,0.002012,0.7685088348388672
mobilenet_7x7_ratio_2_8_480_480,0.24883204,0.001084,0.44648448944091795
mobilenet_7x7_ratio_3_8_480_480,0.37232644,0.001604,0.5846188735961914
mobilenet_7x7_ratio_4_8_480_480,0.49582084,0.002124,0.7518323516845703
mobilenet_7x7_ratio_5_8_480_480,0.61931524,0.002644,0.9103673553466797
mobilenet_7x7_ratio_6_8_480_480,0.74280964,0.003164,1.075103988647461
cat_8_480_480,0.0294912,0.000128,0.07309951782226562
sum_8_480_480,0.0,0.0,0.04699007987976074
energy_8_480_480,0.09216,0.0,7.12309814453125
mmaf_8_480_480,0.671846484,0.002999,5.887525024414063
skip_dep_8_480_480,0.0,0.0,0.0
skip_rgb_8_480_480,0.0,0.0,0.0
head_8_240_240,0.0175104,0.00029,0.09357184410095215
middle_8_240_240,0.0041472,6.5e-05,0.0396563196182251
tail_8_240_240,0.0042048,7.3e-05,0.16206783294677735
up_8_240_240,0.0073728,0.000128,0.05046847820281983
down_8_240_240,0.0147456,0.001024,0.10271552085876465
skip_8_240_240,0.0,0.0,0.0
mobilenet_3x3_ratio_2_8_240_240,0.02534404,0.000444,0.2611289596557617
mobilenet_3x3_ratio_3_8_240_240,0.03778564,0.000644,0.2581964874267578
mobilenet_3x3_ratio_4_8_240_240,0.05022724,0.000844,0.2613260841369629
mobilenet_3x3_ratio_5_8_240_240,0.06266884,0.001044,0.253624324798584
mobilenet_3x3_ratio_6_8_240_240,0.07511044,0.001244,0.258985595703125
mobilenet_5x5_ratio_2_8_240_240,0.04008964,0.0007,0.2515238380432129
mobilenet_5x5_ratio_3_8_240_240,0.05990404,0.001028,0.2507040023803711
mobilenet_5x5_ratio_4_8_240_240,0.07971844,0.001356,0.2500947189331055
mobilenet_5x5_ratio_5_8_240_240,0.09953284,0.001684,0.25382144927978517
