,flops,paras,latency
head_8_480_480,0.0700416,0.00029,0.12814720153808593
middle_8_480_480,0.0165888,6.5e-05,0.049388160705566404
tail_8_480_480,0.0168192,7.3e-05,0.6440294647216797
up_8_480_480,0.0294912,0.000128,0.07112383842468262
down_8_480_480,0.0589824,0.001024,0.09871808052062989
skip_8_480_480,0.0,0.0,0.0
mobilenet_3x3_ratio_2_8_480_480,0.10137604,0.000444,0.30139520645141604
mobilenet_3x3_ratio_3_8_480_480,0.15114244,0.000644,0.3853721618652344
mobilenet_3x3_ratio_4_8_480_480,0.20090884,0.000844,0.47429054260253906
mobilenet_3x3_ratio_5_8_480_480,0.25067524,0.001044,0.5651609420776367
mobilenet_3x3_ratio_6_8_480_480,0.30044164,0.001244,0.655011215209961
mobilenet_5x5_ratio_2_8_480_480,0.16035844,0.0007,0.3504460906982422
mobilenet_5x5_ratio_3_8_480_480,0.23961604,0.001028,0.4326540756225586
mobilenet_5x5_ratio_4_8_480_480,0.31887364,0.001356,0.5413663864135743
mobilenet_5x5_ratio_5_8_480_480,0.39813124,0.001684,0.6508601379394531
mobilenet_5x5_ratio_6_8_480_480,0.47738884,0.002012,0.7567680358886719
mobilenet_7x7_ratio_2_8_480_480,0.24883204,0.001084,0.45508800506591796
mobilenet_7x7_ratio_3_8_480_480,0.37232644,0.001604,0.5875449752807618
mobilenet_7x7_ratio_4_8_480_480,0.49582084,0.002124,0.746390380859375
mobilenet_7x7_ratio_5_8_480_480,0.61931524,0.002644,0.9224121856689453
mobilenet_7x7_ratio_6_8_480_480,0.74280964,0.003164,1.112300796508789
cat_8_480_480,0.0294912,0.000128,0.07397696018218994
sum_8_480_480,0.0,0.0,0.046973438262939454
energy_8_480_480,0.09216,0.0,7.164647827148437
mmaf_8_480_480,0.671846484,0.002999,5.927183837890625
skip_dep_8_480_480,0.0,0.0,0.0
skip_rgb_8_480_480,0.0,0.0,0.0
head_8_240_240,0.0175104,0.00029,0.09425663948059082
middle_8_240_240,0.0041472,6.5e-05,0.03972032070159912
tail_8_240_240,0.0042048,7.3e-05,0.1633919906616211
up_8_240_240,0.0073728,0.000128,0.04906303882598877
down_8_240_240,0.0147456,0.001024,0.10239359855651856
skip_8_240_240,0.0,0.0,0.0
mobilenet_3x3_ratio_2_8_240_240,0.02534404,0.000444,0.255359992980957
mobilenet_3x3_ratio_3_8_240_240,0.03778564,0.000644,0.2545427131652832
mobilenet_3x3_ratio_4_8_240_240,0.05022724,0.000844,0.25733375549316406
mobilenet_3x3_ratio_5_8_240_240,0.06266884,0.001044,0.26444608688354493
mobilenet_3x3_ratio_6_8_240_240,0.07511044,0.001244,0.2621132850646973
mobilenet_5x5_ratio_2_8_240_240,0.04008964,0.0007,0.2608697509765625
mobilenet_5x5_ratio_3_8_240_240,0.05990404,0.001028,0.29167488098144534
mobilenet_5x5_ratio_4_8_240_240,0.07971844,0.001356,0.2530751991271973
mobilenet_5x5_ratio_5_8_240_240,0.09953284,0.001684,0.2557478332519531
mobilenet_5x5_ratio_6_8_240_240,0.11934724,0.002012,0.25561471939086916
mobilenet_7x7_ratio_2_8_240_240,0.06220804,0.001084,0.2537235260009766
mobilenet_7x7_ratio_3_8_240_240,0.09308164,0.001604,0.253624324798584
mobilenet_7x7_ratio_4_8_240_240,0.12395524,0.002124,0.25338943481445314
mobilenet_7x7_ratio_5_8_240_240,0.15482884,0.002644,0.25581567764282226
mobilenet_7x7_ratio_6_8_240_240,0.18570244,0.003164,0.2922707176208496
cat_8_240_240,0.0073728,0.000128,0.03696063995361328
sum_8_240_240,0.0,0.0,0.017973760366439818
energy_8_240_240,0.02304,0.0,1.822899169921875
mmaf_8_240_240,0.167961684,0.002999,1.4685836791992188
skip_dep_8_240_240,0.0,0.0,0.0
skip_rgb_8_240_240,0.0,0.0,0.0
head_8_120_120,0.0043776,0.00029,0.09250944137573242
middle_8_120_120,0.0010368,6.5e-05,0.039750399589538576
tail_8_120_120,0.0010512,7.3e-05,0.044223999977111815
up_8_120_120,0.0018432,0.000128,0.051813759803771973
down_8_120_120,0.0036864,0.001024,0.09840191841125488
skip_8_120_120,0.0,0.0,0.0
mobilenet_3x3_ratio_2_8_120_120,0.00633604,0.000444,0.25593664169311525
mobilenet_3x3_ratio_3_8_120_120,0.00944644,0.000644,0.25227903366088866
mobilenet_3x3_ratio_4_8_120_120,0.01255684,0.000844,0.25204416275024416
mobilenet_3x3_ratio_5_8_120_120,0.01566724,0.001044,0.2516127967834473
mobilenet_3x3_ratio_6_8_120_120,0.01877764,0.001244,0.25379711151123047
mobilenet_5x5_ratio_2_8_120_120,0.01002244,0.0007,0.25469375610351563
mobilenet_5x5_ratio_3_8_120_120,0.01497604,0.001028,0.2532480049133301
mobilenet_5x5_ratio_4_8_120_120,0.01992964,0.001356,0.2510867118835449
mobilenet_5x5_ratio_5_8_120_120,0.02488324,0.001684,0.2508998489379883
mobilenet_5x5_ratio_6_8_120_120,0.02983684,0.002012,0.252542724609375
mobilenet_7x7_ratio_2_8_120_120,0.01555204,0.001084,0.2560665512084961
mobilenet_7x7_ratio_3_8_120_120,0.02327044,0.001604,0.25266304016113283
mobilenet_7x7_ratio_4_8_120_120,0.03098884,0.002124,0.25194879531860354
mobilenet_7x7_ratio_5_8_120_120,0.03870724,0.002644,0.2523603248596191
mobilenet_7x7_ratio_6_8_120_120,0.04642564,0.003164,0.25228864669799805
cat_8_120_120,0.0018432,0.000128,0.037313919067382816
sum_8_120_120,0.0,0.0,0.018006399869918824
energy_8_120_120,0.00576,0.0,0.4661689758300781
